Reaction id	Reaction name	stoichiometry	Genes
rxn00351_c0	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)	cpd00002_c0 + cpd00033_c0 + cpd00506_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00042_c0 + cpd00067_c0	6666666.653812.peg.4098;
rxn00423_c0	acetyl-CoA:L-serine O-acetyltransferase	cpd00022_c0 + cpd00054_c0 --> cpd00010_c0 + cpd00722_c0	6666666.653812.peg.1331;6666666.653812.peg.5199;6666666.653812.peg.2968;
rxn05561_c0	Transport of dicarboxylates, extracellular	cpd00067_e0 + cpd00106_e0 --> cpd00067_c0 + cpd00106_c0	6666666.653812.peg.3587;6666666.653812.peg.4720;6666666.653812.peg.5002;6666666.653812.peg.3490;6666666.653812.peg.4277;6666666.653812.peg.1596;6666666.653812.peg.5248;6666666.653812.peg.3649;6666666.653812.peg.5040;
rxn02177_c0	Isochorismate pyruvate-hydrolase	cpd00001_c0 + cpd00658_c0 --> cpd00020_c0 + cpd02566_c0	6666666.653812.peg.3104;
rxn00646_c0	L-glutamate:L-cysteine gamma-ligase (ADP-forming)	cpd00002_c0 + cpd00023_c0 + cpd00084_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00506_c0	6666666.653812.peg.2928;
rxn00247_c0	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)	cpd00002_c0 + cpd00032_c0 --> cpd00008_c0 + cpd00011_c0 + cpd00061_c0	6666666.653812.peg.2935;
rxn03239_c0	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase	cpd00003_c0 + cpd03113_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd03114_c0	6666666.653812.peg.203;
rxn04271_c0	trans-2-Methyl-5-isopropylhexa-2,5-dienal dehydrogenase	cpd00001_c0 + cpd00003_c0 + cpd08739_c0 <=> cpd00004_c0 + 2.0 cpd00067_c0 + cpd08740_c0	6666666.653812.peg.2858;
rxn12008_c0	R05611	cpd00113_c0 + cpd02590_c0 --> cpd00012_c0 + cpd00067_c0 + cpd02557_c0	666666.653812.peg.641;
rxn00199_c0	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)	cpd00067_c0 + cpd03187_c0 --> cpd00011_c0 + cpd00024_c0	666666.653812.peg.3048;
rxn10231_c0	isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase	cpd00054_c0 + cpd15688_c0 --> cpd00046_c0 + 2.0 cpd00067_c0 + cpd15694_c0	6666666.653812.peg.4873;
rxn10270_c0	isohexadecanoyl-Phosphatidylglycerophosphate phosphohydrolase	cpd00001_c0 + cpd15721_c0 --> cpd00009_c0 + cpd00067_c0 + cpd15727_c0	6666666.653812.peg.3782;
rxn03046_c0	ATP:guanidinoethyyl-methyl-phosphate phosphotransferase	cpd00002_c0 + cpd02519_c0 <=> cpd00008_c0 + cpd00067_c0 + cpd02744_c0	6666666.653812.peg.1340;6666666.653812.peg.1627;
rxn01219_c0	ATP:dCMP phosphotransferase	cpd00002_c0 + cpd00067_c0 + cpd00206_c0 --> cpd00008_c0 + cpd00533_c0	6666666.653812.peg.3917;
rxn00258_c0	Malonyl-CoA:pyruvate carboxytransferase	cpd00020_c0 + cpd00070_c0 <=> cpd00022_c0 + cpd00032_c0	6666666.653812.peg.2623;
rxn09177_c0	(R)-4'-Phosphopantothenate:L-cysteine ligase	cpd00052_c0 + cpd00084_c0 + cpd02201_c0 --> cpd00012_c0 + cpd00046_c0 + 2.0 cpd00067_c0 + cpd02666_c0	6666666.653812.peg.1638;6666666.653812.peg.4100;
rxn01210_c0	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)	cpd00002_c0 + cpd00023_c0 + cpd00201_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd03524_c0	6666666.653812.peg.2035;
rxn05367_c0	6-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	cpd11492_c0 + cpd11503_c0 --> cpd00011_c0 + cpd11493_c0 + cpd11504_c0	6666666.653812.peg.2989;6666666.653812.peg.1904;
rxn05654_c0	Transport of succinate, extracellular	cpd00036_e0 + cpd00067_e0 --> cpd00036_c0 + cpd00067_c0	6666666.653812.peg.3587;6666666.653812.peg.4720;6666666.653812.peg.5002;6666666.653812.peg.3490;6666666.653812.peg.4277;6666666.653812.peg.1596;6666666.653812.peg.5248;6666666.653812.peg.3649;6666666.653812.peg.5040;
